01_Fermentation	Bifidobacterium shunt			K00016
01_Fermentation	Bifidobacterium shunt			K00134
01_Fermentation	Bifidobacterium shunt			K00603
01_Fermentation	Bifidobacterium shunt			K13990
01_Fermentation	Bifidobacterium shunt			K00918
01_Fermentation	Bifidobacterium shunt			K00872
01_Fermentation	Bifidobacterium shunt			K10705
01_Fermentation	Bifidobacterium shunt			K06040
01_Fermentation	Bifidobacterium shunt			K03416
01_Fermentation	Bifidobacterium shunt			K08074
01_Fermentation	Bifidobacterium shunt			K02203
01_Fermentation	Bifidobacterium shunt			K01807
01_Fermentation	Bifidobacterium shunt			K13598
01_Fermentation	Bifidobacterium shunt			K05715
01_Fermentation	Bifidobacterium shunt			K01624
01_Fermentation	Bifidobacterium shunt			K08302
01_Fermentation	Bifidobacterium shunt			K13830
01_Fermentation	Bifidobacterium shunt			K01776
01_Fermentation	Bifidobacterium shunt			K13831
01_Fermentation	Bifidobacterium shunt			K01808
01_Fermentation	Bifidobacterium shunt			K07514
01_Fermentation	Bifidobacterium shunt			K01805
01_Fermentation	Bifidobacterium shunt			K01825
01_Fermentation	Acetylene degradation			K00001
01_Fermentation	Acetylene degradation			K00121
01_Fermentation	Acetylene degradation			K04072
01_Fermentation	Acetylene degradation			K11440
01_Fermentation	Acetylene degradation			K13951
01_Fermentation	Acetylene degradation			K13952
01_Fermentation	Acetylene degradation			K13953
01_Fermentation	Acetylene degradation			K13954
01_Fermentation	Acetylene degradation			K13980
01_Fermentation	Acetylene degradation			K04073
01_Fermentation	Acetylene degradation			K00132
01_Fermentation	Acetylene degradation			K00640
01_Fermentation	Acetylene degradation			K13598
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00109
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00232
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K03340
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01039
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K14472
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01040
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01026
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13497
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13501
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13503
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K02372
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K02509
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K05554
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K07534
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K07546
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K08299
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K09483
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K10703
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K11336
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00121
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K04072
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K11440
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13951
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13952
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13953
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13954
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13980
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K03778
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01610
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01658
01_Fermentation	Heterolactic fermentation			K00001
01_Fermentation	Heterolactic fermentation			K03778
01_Fermentation	Heterolactic fermentation			K04073
01_Fermentation	Heterolactic fermentation			K04072
01_Fermentation	Heterolactic fermentation			K08074
01_Fermentation	Heterolactic fermentation			K02203
01_Fermentation	Heterolactic fermentation			K14075
01_Fermentation	Heterolactic fermentation			K01807
01_Fermentation	Heterolactic fermentation			K07514
01_Fermentation	Heterolactic fermentation			K14076
01_Fermentation	Heterolactic fermentation			K01808
01_Fermentation	Heterolactic fermentation			K10705
01_Fermentation	Heterolactic fermentation			K00016
01_Fermentation	Heterolactic fermentation			K03777
01_Fermentation	Heterolactic fermentation			K00033
01_Fermentation	Heterolactic fermentation			K00036
01_Fermentation	Heterolactic fermentation			K00132
01_Fermentation	Heterolactic fermentation			K00134
01_Fermentation	Heterolactic fermentation			K00640
01_Fermentation	Heterolactic fermentation			K00918
01_Fermentation	Heterolactic fermentation			K00865
01_Fermentation	Heterolactic fermentation			K00872
